label,geometry,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,POINT (567973.0969521838 719751.7629300643),4.0,7.0,-0.00024050467,389.9206706472762,2.3626318,5.0,3.2827708e-07,7.5415637e-06,-4.4647884
0,POINT (529538.9926667466 719154.9600684892),0.0,0.0,,,1.911995e-07,0.0,3.2990104e-13,5.989152e-38,14.327907
0,POINT (566719.810942876 708472.1888462947),0.0,0.0,,,2.8588258e-07,0.0,3.0897846e-13,6.991212e-20,13.366295
0,POINT (553530.4677020661 721064.7292255296),0.0,0.0,,,1.1616287e-06,0.0,7.576383e-11,1.5208498e-17,10.919493
1,POINT (559886.418177841 714261.1766035733),-1.0,7.0,0.0065545407,444.2405641327265,1.6925593e-07,5.0,4.7820005e-13,3.421553e-21,14.079679
0,POINT (515663.32613512524 717841.993773024),6.0,7.0,0.02349437,476.23197766739804,1.2227957,2.0,2.3632126e-07,5.6453035e-07,-3.5787554
0,POINT (522944.3210463416 710859.4002925951),5.0,2.0,0.20358439,530.6180250214139,1.029032,12.0,1.685288e-07,3.3895737e-06,-3.7363575
0,POINT (555141.8354283188 707547.1444108533),0.0,0.0,,,1.9285796e-06,0.0,2.0173793e-12,3.8428115e-18,10.013353
0,POINT (548964.9258110165 721959.9335178923),0.0,0.0,,,1.9244854e-07,0.0,1.4292901e-11,7.28672e-33,18.100298
0,POINT (536670.7868625692 716887.1091945037),3.0,7.0,-0.031441573,433.4480705116316,1.2575992,2.0,1.9238298e-05,2.919507e-06,-1.7995589
0,POINT (570599.0295431142 713037.7307373442),6.0,7.0,0.12929846,566.2173215223089,0.03763001,4.0,1.8534902e-08,3.6300108e-08,11.788628
0,POINT (549830.2899603003 722019.6138040498),0.0,0.0,,,1.2848035e-07,0.0,9.848563e-12,6.2640304e-21,18.536232
0,POINT (540132.2434597048 719781.603073143),7.0,7.0,-0.029730469,303.01294735578887,1.6716457e-07,5.0,9.507888e-14,3.8642033e-21,13.180929
0,POINT (549561.7286725915 713515.1730266043),4.0,7.0,0.020391785,440.292330995459,4.086644,6.0,1.2070943e-06,6.3669995e-06,-4.494242
0,POINT (528673.6285174626 720915.5285101358),0.0,0.0,,,1.8512148e-05,0.0,5.9044427e-12,4.7781976e-16,7.454325
0,POINT (520825.67088774993 714708.7787497547),2.0,7.0,0.022384182,476.23197766739804,0.14905784,2.0,4.1604298e-07,1.4379734e-07,8.72377
0,POINT (523272.5626202079 715544.3027559598),10.0,5.0,0.13379976,530.6180250214139,1.8048848,2.0,3.063464e-07,4.2126206e-07,-4.1296315
0,POINT (550277.8921064817 710799.7200064376),4.0,7.0,2.6847543e-05,440.292330995459,1.6572349,5.0,1.3604698e-07,3.3048984e-06,-4.638987
1,POINT (532135.0851145983 707935.066270877),0.0,7.0,0.0059368964,530.6180250214139,1.0371337,5.0,7.722782e-06,1.3749635e-05,12.525863
0,POINT (544846.9860661482 716021.7450452199),0.0,0.0,,,1.6755506e-05,0.0,2.0849026e-12,2.040218e-16,7.0846157
0,POINT (524854.090203382 708412.5085601371),2.0,1.0,0.016249048,530.6180250214139,2.6310287,0.0,9.653302e-07,3.5573032e-06,-4.07382
0,POINT (558782.332883927 719632.4023577493),0.0,0.0,,,2.5673805e-07,0.0,2.44509e-13,4.2542235e-20,12.256297
0,POINT (572926.5607032572 712978.0504511868),0.0,0.0,,,1.911995e-07,0.0,1.2809397e-12,5.33624e-38,15.689813
0,POINT (537745.0320134044 708084.2669862709),8.0,8.0,0.044889946,433.4480705116316,0.6255736,5.0,2.0031831e-07,6.204545e-07,-2.1629927
1,POINT (557976.6490208006 714052.295602022),-1.0,7.0,0.0039753034,444.2405641327265,1.8638138e-07,6.0,2.901554e-13,2.0909249e-20,13.960811
0,POINT (537267.5897241443 716141.1056175348),3.0,7.0,-0.03273111,433.4480705116316,2.1931772,2.0,1.6591632e-05,3.3053952e-06,-1.7595204
0,POINT (552277.1816927583 707994.7465570346),0.0,0.0,,,2.8270748e-07,0.0,2.8389983e-13,1.4986608e-19,13.735103
0,POINT (518796.5411583946 721751.052516341),0.0,0.0,,,1.9244781e-07,0.0,2.6002332e-12,7.2823704e-33,16.394302
0,POINT (545503.4692138808 718498.4769207566),0.0,0.0,,,1.9243652e-07,0.0,1.3473658e-12,7.21554e-33,15.729131
0,POINT (570181.2675400117 720826.0080808995),0.0,0.0,,,1.9244459e-07,0.0,6.2730875e-13,7.263428e-33,14.974181
0,POINT (529628.5130959828 713306.2920250531),5.0,7.0,0.055542257,530.6180250214139,0.9180913,2.0,5.76106e-07,2.6684086e-06,3.4759839
0,POINT (554783.7537113738 721959.9335178923),0.0,0.0,,,1.9244854e-07,0.0,1.737832e-11,7.286712e-33,18.295757
0,POINT (537983.7531580344 715186.2210390148),3.0,7.0,-0.02483037,433.4480705116316,1.258989,2.0,1.9054798e-07,1.3584591e-06,-3.8100798
0,POINT (539057.9983088695 716558.8676206375),4.0,7.0,-0.026412115,433.4480705116316,0.4521043,4.0,1.291998e-06,9.0721295e-07,-1.5551018
0,POINT (521810.3956093489 720288.885505482),5.0,2.0,0.17324871,270.0013566082148,0.5547346,5.0,4.5539792e-08,6.297935e-07,-1.6692744
0,POINT (549561.7286725915 711963.4855865091),5.0,7.0,0.008643355,440.292330995459,1.0246643,7.0,1.214528e-07,1.2342969e-06,-3.6725955
0,POINT (523421.76333560166 713067.5708804231),4.0,7.0,0.024594042,530.6180250214139,2.5137713,18.0,2.273804e-06,3.4176956e-06,-3.7542806
0,POINT (574239.5269987225 721303.4503701596),0.0,0.0,,,1.911995e-07,0.0,3.9315608e-13,2.2020028e-38,14.519973
0,POINT (533567.4119823786 720557.4467931908),0.0,0.0,,,4.0035695e-07,0.0,1.7784262e-13,1.0060114e-18,13.334811
0,POINT (566242.3686536159 713306.2920250531),4.0,7.0,0.07250896,444.2405641327265,1.2939686e-06,8.0,1.7164048e-13,7.677419e-19,9.732499
0,POINT (557887.1285915644 720378.4059347182),0.0,0.0,,,1.2879688e-06,0.0,3.4460251e-12,3.1252303e-19,12.382153
0,POINT (532075.4048284407 718498.4769207566),0.0,0.0,,,1.911995e-07,0.0,6.377668e-13,9.856671e-38,15.003683
0,POINT (538699.9165919245 717454.0719130002),4.0,7.0,-0.009085266,433.4480705116316,1.2387567,2.0,1.0169293e-07,1.4363602e-06,-4.3760314
0,POINT (515454.44513357396 717245.1909114489),3.0,7.0,0.038760364,476.23197766739804,1.2476561,2.0,8.0556543e-07,2.870225e-06,-2.0345304
0,POINT (536969.1882933567 720109.8446470094),0.0,0.0,,,3.2651533e-07,0.0,1.6537306e-13,9.7841753e-20,11.307745
0,POINT (538043.4334441919 713574.8533127619),3.0,7.0,-0.023409829,433.4480705116316,2.2114513,6.0,8.515716e-07,4.6149275e-06,-3.2258453
