label,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,1.0,7.0,0.021325307,444.2405641327265,0.2373328,5.0,9.8415796e-08,3.4360613e-07,4.7682214
0,4.0,7.0,0.0025309152,433.4480705116316,2.0671005,2.0,2.6085112e-07,4.415013e-06,-4.4900517
0,4.0,2.0,0.21007256,476.2319776673981,0.9941407,9.0,8.5752e-08,8.520364e-07,-3.9940953
0,2.0,7.0,-0.020542677,433.4480705116316,1.1882708,4.0,8.337073e-07,2.422512e-06,-2.4612238
0,7.0,3.0,0.118358515,444.2405641327265,2.8480315,4.0,6.015056e-07,1.637686e-05,-4.4629498
0,3.0,7.0,0.15941855,476.2319776673981,1.2523293,9.0,4.5858272e-07,2.3904418e-06,-2.8962302
0,3.0,7.0,0.049683686,566.2173215223089,0.49470145,3.0,1.16228975e-07,8.2735824e-07,3.221338
0,5.0,8.0,0.18558888,476.2319776673981,0.9320036,7.0,4.1390427e-07,2.690436e-06,-2.644486
0,6.0,7.0,-0.0049125706,566.2173215223089,2.257367,3.0,2.4915545e-07,8.478627e-06,-4.7485127
0,7.0,7.0,0.11509323,444.2405641327265,4.3515773,5.0,2.097303e-06,4.799143e-06,-3.842437
0,3.0,7.0,0.035790335,530.6180250214139,2.1427792e-07,4.0,9.577615e-13,6.754914e-21,14.539142
0,2.0,7.0,0.032092057,433.4480705116316,1.3774903,2.0,1.1349077e-07,1.5660709e-06,-4.324863
0,1.0,7.0,0.023696382,444.2405641327265,0.65751785,6.0,2.2761479e-07,1.1940107e-06,-0.050651636
0,8.0,2.0,0.12356432,476.2319776673981,7.229661,3.0,5.935036e-07,6.412057e-05,-6.1480446
0,2.0,7.0,-0.030529026,444.2405641327265,0.855169,6.0,9.50138e-07,1.1655222e-06,-2.9665692
1,0.0,7.0,0.013291058,389.9206706472762,1.8015619e-07,3.0,7.367936e-13,2.1209699e-21,12.8258915
0,1.0,2.0,0.22465089,530.6180250214139,1.608322e-07,9.0,8.183286e-12,8.837103e-21,15.80693
0,3.0,3.0,0.13720942,433.4480705116316,0.43679753,16.0,4.3517485e-08,1.5793194e-06,-3.113097
0,7.0,2.0,0.040227477,530.6180250214139,2.5602427,9.0,6.9460555e-07,9.0636064e-07,-4.0937805
0,3.0,2.0,0.20767026,512.3039092871845,2.897708e-07,12.0,5.810864e-12,2.3463124999999998e-20,15.017855
0,4.0,7.0,0.02138964,444.2405641327265,0.43807477,3.0,1.5929267e-07,5.7938536e-07,4.9959908
0,2.0,7.0,0.04034797,530.6180250214139,0.53520966,4.0,1.5502488e-07,1.0041929e-06,0.3992659
0,9.0,7.0,0.0043011075,530.6180250214139,2.925145,2.0,4.3685452e-07,1.2469641e-05,-4.6633883
0,4.0,7.0,-0.024021283,444.2405641327265,2.7275856,3.0,3.721109e-07,6.5011745e-06,-4.825796
0,6.0,7.0,-0.01690704,402.8734858777479,2.8505316,3.0,7.135349e-07,9.025874e-06,-4.1830907
0,13.0,2.0,0.13819526,566.2173215223089,1.9539047,7.0,1.6569417e-07,4.627216e-06,-4.789331
0,7.0,2.0,0.24549307,433.4480705116316,3.8172543,0.0,1.3455956e-05,1.0600251e-05,-3.0501761
0,6.0,7.0,0.032166395,440.292330995459,1.3420383,2.0,2.2188742e-07,2.9720463e-06,-3.9407458
0,4.0,7.0,0.11553863,444.2405641327265,0.65310395,3.0,2.9124877e-07,8.463469e-07,0.86189383
0,7.0,7.0,0.119530655,530.6180250214139,2.797556,5.0,2.836634e-07,5.4989605e-06,-5.117082
0,1.0,7.0,0.021430232,268.19474382028346,2.1576518e-07,2.0,2.0497011e-10,2.4509799999999998e-20,18.469582
0,5.0,7.0,-0.032736808,303.01294735578887,1.0862535,2.0,8.917354e-08,2.4702363e-06,-4.2467456
0,8.0,8.0,0.057314154,433.4480705116316,0.9256166,9.0,1.12475675e-07,1.2388504e-06,-3.9365797
0,5.0,7.0,0.0008389248,433.4480705116316,3.6085021,2.0,5.885291e-07,5.4704433e-06,-4.7661986
0,1.0,7.0,-0.008687948,433.4480705116316,0.1651162,4.0,3.615805e-08,4.784433e-07,9.016932
0,4.0,7.0,0.0006133014,433.4480705116316,2.716696,5.0,2.3620018e-05,2.4415058e-06,-2.3794398
0,8.0,7.0,0.024764061,476.2319776673981,0.7847955,2.0,9.093774e-07,1.1103006e-06,-2.2373326
1,1.0,1.0,-0.0035099795,433.4480705116316,1.5047691,8.0,8.819298e-06,2.7763379e-06,-1.1979983
